W,L,Seed,Goodput_Mbps,Retransmissions,Duration_Sec
32,2048,6,0.13981071999802994,5046,6000.000000084546
32,2048,7,0.13981071999802994,4539,6000.000000084546
32,2048,8,0.13981071999802994,4494,6000.000000084546
32,2048,9,0.13981071999802994,4738,6000.000000084546
32,4096,0,0.13981505066469654,2318,6000.000000084546
32,4096,1,0.13981505066469654,2600,6000.000000084546
32,4096,2,0.13981505066469654,2753,6000.000000084546
32,4096,3,0.13981505066469654,3284,6000.000000084546
32,4096,4,0.13981505066469654,2469,6000.000000084546
32,4096,5,0.13981505066469654,3249,6000.000000084546
32,4096,6,0.13981505066469654,3140,6000.000000084546
32,4096,7,0.13981505066469654,3058,6000.000000084546
32,4096,8,0.13981505066469654,2979,6000.000000084546
32,4096,9,0.13981505066469654,2502,6000.000000084546
64,128,0,0.13981023999802994,60237,6000.000000084546
64,128,1,0.13981023999802994,62137,6000.000000084546
64,128,2,0.13981023999802994,61418,6000.000000084546
64,128,3,0.13981023999802994,60577,6000.000000084546
64,128,4,0.13981023999802994,61430,6000.000000084546
64,128,5,0.13981023999802994,61315,6000.000000084546
64,128,6,0.13981023999802994,64281,6000.000000084546
64,128,7,0.13981023999802994,62354,6000.000000084546
64,128,8,0.13981023999802994,58352,6000.000000084546
64,128,9,0.13981023999802994,61725,6000.000000084546
64,256,0,0.13981016533136326,28962,6000.000000084546
64,256,1,0.13981016533136326,30647,6000.000000084546
64,256,2,0.13981016533136326,30399,6000.000000084546
64,256,3,0.13981016533136326,29517,6000.000000084546
64,256,4,0.13981016533136326,29425,6000.000000084546
64,256,5,0.13981016533136326,29892,6000.000000084546
64,256,6,0.13981016533136326,32197,6000.000000084546
64,256,7,0.13981016533136326,31066,6000.000000084546
64,256,8,0.13981016533136326,28842,6000.000000084546
64,256,9,0.13981016533136326,29346,6000.000000084546
64,512,0,0.13981027199802992,14985,6000.000000084546
64,512,1,0.13981027199802992,14831,6000.000000084546
64,512,2,0.13981027199802992,15247,6000.000000084546
64,512,3,0.13981027199802992,14951,6000.000000084546
64,512,4,0.13981027199802992,14662,6000.000000084546
64,512,5,0.13981027199802992,15699,6000.000000084546
64,512,6,0.13981027199802992,16423,6000.000000084546
64,512,7,0.13981027199802992,14481,6000.000000084546
64,512,8,0.13981027199802992,15404,6000.000000084546
64,512,9,0.13981027199802992,14677,6000.000000084546
